COLLEAGUE ID,ERROR NUMBER,DESCRIPTION,ERROR DATE & TIME,FIELD NAME ERROR,ID,TRANSACTION TYPE
5110187,1208,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-01147 The value for the property is not valid - Name: OrganizationPath, Value: Sainsburys/Retail/JS-Z02/JS-R15/0508-Watford/Supermarket/0508-WATFORD/Argos SIS/Secondment - Trading Support Manager Dome Roundabout (Store in Store) Argos - A0.WFP-00336 The job does not exist, the user does not have access to the job, or the job is not available on the specified date.   Path: Sainsburys/Retail/JS-Z02/JS-R15/0508-Watford/Supermarket/0508-WATFORD/Argos SIS/Secondment - Trading Support Manager Dome Roundabout (Store in Store) Argos - A0, Date: 10/03/2024.WFP-01094 A property value is required, but was not specified - Property: LaborAccountName.",Mar 11 2024  5:11AM,LaborAccountName,,Personality
5585842,1208,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-01147 The value for the property is not valid - Name: OrganizationPath, Value: Sainsburys/Retail/JS-Z03/JS-R22/0507-Crystal Palace/Supermarket/0507-CRYSTAL PALACE/Argos SIS/Secondment - Trading Support Manager Crystal Palace (Store in Store) Argos.WFP-00336 The job does not exist, the user does not have access to the job, or the job is not available on the specified date.   Path: Sainsburys/Retail/JS-Z03/JS-R22/0507-Crystal Palace/Supermarket/0507-CRYSTAL PALACE/Argos SIS/Secondment - Trading Support Manager Crystal Palace (Store in Store) Argos, Date: 10/03/2024.WFP-01094 A property value is required, but was not specified - Property: LaborAccountName.",Mar 11 2024  5:12AM,LaborAccountName,,Personality
,1005,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-00336 The job does not exist, the user does not have access to the job, or the job is not available on the specified date.   Path: Sainsburys/Retail/JS-Z03/JS-R19/0164-Golders Green/Supermarket/0164-GOLDERS GREEN/Food/Trading Assistant, Date: 29/02/2024.",Mar 11 2024  5:13AM,AddEntries,Sainsburys/Retail/JS-Z03/JS-R19/0164-Golders Green/Supermarket/0164-GOLDERS GREEN/Food/Trading Assistant,OrgSet
5796046,1209,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-01147 The value for the property is not valid - Name: ProfessionalTransferOrganizationSetName, Value: 5796046.",Mar 11 2024  5:13AM,ProfessionalTransferOrganizationSetName,5796046,Personality
5796046,12009,WFP-00231 The person could not be found with the specified ID: 5796046.,Mar 11 2024  5:13AM,,,PayCodeValuesProfileAssignment
5796046,12009,"WFP-00944 The action required an existing person, but either the person for the key could not be found, the user does not have access rights to that person, or a database error occurred - Key: 5796046.WFP-00231 The person could not be found with the specified ID: 5796046.",Mar 11 2024  5:13AM,,,EmployeeGroupAssign
5796046,12009,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-00944 The action required an existing person, but either the person for the key could not be found, the user does not have access rights to that person, or a database error occurred - Key: 5796046.WFP-00231 The person could not be found with the specified ID: 5796046.",Mar 11 2024  5:13AM,,,RuleSetEmployeeAssign
5796046,12009,"WFP-00950 The value is not valid for the property - Name: Person, Value:  PersonIdentity(    PersonNumber = ""5796046""    EffectiveDate = ""29/02/2024"" ).WFP-00944 The action required an existing person, but either the person for the key could not be found, the user does not have access rights to that person, or a database error occurred - Key: 5796046.WFP-00231 The person could not be found with the specified ID: 5796046.",Mar 11 2024  5:13AM,,,EmployeeAdjustmentRuleAssignment
5105470,10025,"WFP-00371 The person has an active child license without the parent being active as well - Child: Workforce Tablet Analytics, Parent: Workforce Manager.",Mar 11 2024  5:15AM,,,Personality
5793483,1109,"WFP-01270 The information in the bean is not valid.  Detailed errors should be wrapped within this exception.WFP-00987 The property is required to have a value, but a value for the property was not found - Property: USERNAME.",Mar 11 2024  5:17AM,USERNAME,,Personality
5793483,12009,WFP-00231 The person could not be found with the specified ID: 5793483.,Mar 11 2024  5:17AM,,,PayCodeValuesProfileAssignment
